Fecha,Temperatura_Abrigo_150cm,Temperatura_Abrigo_150cm_Maxima,Temperatura_Abrigo_150cm_Minima,Temperatura_Intemperie_5cm_Minima,Temperatura_Intemperie_50cm_Minima,Temperatura_Suelo_5cm_Media,Temperatura_Suelo_10cm_Media,Temperatura_Inte_5cm,Temperatura_Intemperie_150cm_Minima,Humedad_Suelo,Precipitacion_Pluviometrica,Precipitacion_Cronologica,Precipitacion_Maxima_30minutos,Heliofania_Efectiva,Heliofania_Relativa,Tesion_Vapor_Media,Humedad_Media,Humedad_Media_8_14_20,Rocio_Medio,Duracion_Follaje_Mojado,Velocidad_Viento_200cm_Media,Direccion_Viento_200cm,Velocidad_Viento_1000cm_Media,Direccion_Viento_1000cm,Velocidad_Viento_Maxima,Presion_Media,Radiacion_Global,Horas_Frio,Unidades_Frio,mes
2011-05-28T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mayo
2011-05-29T00:00:00Z,4.272223,12.8,-1.2,NA,NA,NA,5.607637,NA,NA,NA,0,0,0,NA,NA,6.380325,79,76,0.5163196,NA,NA,NA,NA,NA,NA,NA,NA,17.09801,9.794007,mayo
2011-05-30T00:00:00Z,1.691667,9.2,-2.8,NA,NA,NA,4.809723,NA,NA,NA,0,0,0,NA,NA,6.585169,93,90,0.8688348,NA,NA,NA,NA,NA,NA,NA,NA,19.75402,NA,mayo
2011-05-31T00:00:00Z,3.473611,9.6,0.5,NA,NA,NA,5.5333310000000004,NA,NA,NA,0,0,0,NA,NA,7.470535,96,94,2.752273,NA,NA,NA,NA,NA,NA,NA,NA,20.91602,NA,mayo
2011-06-01T00:00:00Z,2.897223,9.6,-1.5,NA,NA,NA,5.188195,NA,NA,NA,0,0,0,NA,NA,7.701784,98,97,3.051148,NA,NA,NA,NA,NA,NA,NA,NA,21.41402,NA,junio
2011-06-02T00:00:00Z,6.261805,13.3,2.9,NA,NA,NA,6.36875,NA,NA,NA,0,0,0,NA,NA,8.617123,93,94,4.745977,NA,NA,NA,NA,NA,NA,NA,NA,16.43401,18.67502,junio
2011-06-03T00:00:00Z,3.453472,12.6,-1.8,NA,NA,NA,5.119445,NA,NA,NA,0,0,0,NA,NA,7.077479,88,86,1.879294,NA,NA,NA,NA,NA,NA,NA,NA,17.76202,12.20101,junio
2011-06-04T00:00:00Z,6.092361,10.2,3.9,NA,NA,NA,5.6270810000000004,NA,NA,NA,0,0,0,NA,NA,8.115891,87,87,3.951767,NA,NA,NA,NA,NA,NA,NA,NA,19.42202,NA,junio
2011-06-05T00:00:00Z,5.003472,7.1,3.4,NA,NA,NA,6.163889,NA,NA,NA,0,0,0,NA,NA,8.577795,100,99,4.73805,NA,NA,NA,NA,NA,NA,NA,NA,23.73803,NA,junio
2011-06-06T00:00:00Z,5.453471,9.5,3.2,NA,NA,NA,6.17709,NA,NA,NA,0,0,0,NA,NA,8.702419,91,88,4.916099,NA,NA,NA,NA,NA,NA,NA,NA,11.786,NA,junio
