nombre,provincia,lon,lat,altura,numero,numeroOACI,region
BASE BELGRANO II,ANTARTIDA,-34.34,-77.52,256,89034,SAYB,ANTARTIDA
BASE CARLINI (EX JUBANY),ANTARTIDA,-58.38,-62.14,11,89053,SAYJ,ANTARTIDA
BASE ESPERANZA,ANTARTIDA,-56.59,-63.24,24,88963,SAYE,ANTARTIDA
BASE MARAMBIO,ANTARTIDA,-56.43,-64.14,198,89055,SAWB,ANTARTIDA
BASE ORCADAS,ANTARTIDA,-44.43,-60.45,12,88968,SAYO,ANTARTIDA
BASE SAN MARTIN,ANTARTIDA,-67.8,-68.8,7,89066,SAYS,ANTARTIDA
AZUL AERO,BUENOS AIRES,-59.53,-36.5,147,87641,SAZA,CENTRO
BAHIA BLANCA AERO,BUENOS AIRES,-62.1,-38.44,83,87750,SAZB,CENTRO
BENITO JUAREZ AERO,BUENOS AIRES,-59.47,-37.43,207,87649,SAZJ,CENTRO
BOLIVAR AERO,BUENOS AIRES,-61.4,-36.12,94,87640,SAZI,CENTRO
CAMPO DE MAYO AERO,BUENOS AIRES,-58.4,-34.32,26,87570,SADO,CENTRO
CORONEL PRINGLES AERO,BUENOS AIRES,-61.2,-38.1,247,87683,SABP,CENTRO
CORONEL SUAREZ AERO,BUENOS AIRES,-61.53,-37.26,233,87637,SAZC,CENTRO
DOLORES AERO,BUENOS AIRES,-57.44,-36.21,9,87648,SAZD,CENTRO
EL PALOMAR AERO,BUENOS AIRES,-58.36,-34.36,12,87571,SADP,CENTRO
EZEIZA AERO,BUENOS AIRES,-58.32,-34.49,20,87576,SAEZ,CENTRO
JUNIN AERO,BUENOS AIRES,-60.55,-34.33,81,87548,SAAJ,CENTRO
LA PLATA AERO,BUENOS AIRES,-57.54,-34.58,23,87593,SADL,CENTRO
LAS FLORES,BUENOS AIRES,-59.8,-36.2,36,87563,SAEL,CENTRO
MAR DEL PLATA AERO,BUENOS AIRES,-57.35,-37.56,21,87692,SAZM,CENTRO
MARIANO MORENO AERO,BUENOS AIRES,-58.49,-34.33,32,87572,SADJ,CENTRO
MERLO AERO,BUENOS AIRES,-58.44,-34.41,36,87573,SADR,CENTRO
