tmax,tmin,station,date
16.1,9.4,AEROPARQUE AERO,2020-08-01
17.6,-1.6,AZUL AERO,2020-08-01
18.6,2.4,BAHIA BLANCA AERO,2020-08-01
9,1.6,BARILOCHE AERO,2020-08-01
NA,-33.5,BASE BELGRANO II,2020-08-01
2.1,-3.3,BASE CARLINI (EX JUBANY),2020-08-01
-0.4,-2.6,BASE ESPERANZA,2020-08-01
-2.2,-7.4,BASE MARAMBIO,2020-08-01
-0.5,-7.8,BASE ORCADAS,2020-08-01
1.4,-7.6,BASE SAN MARTIN,2020-08-01
15.6,0.3,BENITO JUAREZ AERO,2020-08-01
24.4,14.5,BERNARDO DE IRIGOYEN AERO,2020-08-01
20.3,0.5,BOLIVAR AERO,2020-08-01
19.5,6.3,BUENOS AIRES OBSERVATORIO,2020-08-01
20.2,2.7,CAMPO DE MAYO AERO,2020-08-01
28.5,-0.4,CATAMARCA AERO,2020-08-01
31.5,5.2,CERES AERO,2020-08-01
24.5,6.4,CHAMICAL AERO,2020-08-01
11.4,-1,CHAPELCO AERO,2020-08-01
25,7.5,CHEPES,2020-08-01
23.5,0.5,CHILECITO AERO,2020-08-01
18,6,CIPOLLETTI,2020-08-01
17.3,9.9,COMODORO RIVADAVIA AERO,2020-08-01
24.8,10.7,CONCORDIA AERO,2020-08-01
28.3,0.2,CORDOBA AERO,2020-08-01
27.8,6.5,CORDOBA OBSERVATORIO,2020-08-01
NA,2.5,CORONEL PRINGLES AERO,2020-08-01
16.8,2.4,CORONEL SUAREZ AERO,2020-08-01
31.4,14.2,CORRIENTES AERO,2020-08-01
15.5,2.6,DOLORES AERO,2020-08-01
11,3.6,EL BOLSON AERO,2020-08-01
2.9,-5,EL CALAFATE AERO,2020-08-01
19.8,1.4,EL PALOMAR AERO,2020-08-01
26.9,3.6,EL TREBOL,2020-08-01
28.6,-1,ESCUELA DE AVIACION MILITAR AERO,2020-08-01
10,NA,ESQUEL AERO,2020-08-01
19.8,3.7,EZEIZA AERO,2020-08-01
32.7,14.3,FORMOSA AERO,2020-08-01
21.5,5.2,GENERAL PICO AERO,2020-08-01
NA,NA,GOBERNADOR GREGORES AERO,2020-08-01
24,7.8,GUALEGUAYCHU AERO,2020-08-01
27.6,13.8,IGUAZU AERO,2020-08-01
29,14,ITUZAINGO,2020-08-01
29.5,-2,JACHAL,2020-08-01
25.6,6,JUJUY AERO,2020-08-01
24.5,3.9,JUJUY U N,2020-08-01
23.5,3.2,JUNIN AERO,2020-08-01
18.1,2.8,LA PLATA AERO,2020-08-01
19.5,-5,LA QUIACA OBSERVATORIO,2020-08-01
24.6,1.7,LA RIOJA AERO,2020-08-01
25.9,1.3,LABOULAYE AERO,2020-08-01
19,5.5,LAS FLORES,2020-08-01
34.4,16.8,LAS LOMITAS,2020-08-01
21.4,-0.6,MALARGUE AERO,2020-08-01
13.2,3.6,MAQUINCHAO,2020-08-01
13,-1.4,MAR DEL PLATA AERO,2020-08-01
27.5,2.2,MARCOS JUAREZ AERO,2020-08-01
20.5,3,MARIANO MORENO AERO,2020-08-01
19.6,1.7,MENDOZA AERO,2020-08-01
NA,4.1,MENDOZA OBSERVATORIO,2020-08-01
28.5,NA,MERCEDES AERO (CTES),2020-08-01
21,5.2,MERLO AERO,2020-08-01
30,7,METAN,2020-08-01
27,10.6,MONTE CASEROS AERO,2020-08-01
20.1,4.9,MORON AERO,2020-08-01
17.4,4,NEUQUEN AERO,2020-08-01
20.9,3.5,NUEVE DE JULIO,2020-08-01
29.5,13,OBERA,2020-08-01
17.9,1.4,OLAVARRIA AERO,2020-08-01
32.3,9,ORAN AERO,2020-08-01
25.7,7,PARANA AERO,2020-08-01
14.8,2,PASO DE INDIOS,2020-08-01
26.8,11.4,PASO DE LOS LIBRES AERO,2020-08-01
20,2,PEHUAJO AERO,2020-08-01
8.8,2.9,PERITO MORENO AERO,2020-08-01
16.5,4,PIGUE AERO,2020-08-01
26.4,4.5,PILAR OBSERVATORIO,2020-08-01
29.4,15.3,POSADAS AERO,2020-08-01
33.6,13.5,PRESIDENCIA ROQUE SAENZ PE�A AERO,2020-08-01
12.8,4,PUERTO DESEADO AERO,2020-08-01
12.4,9.2,PUERTO MADRYN AERO,2020-08-01
15.5,2.5,PUNTA INDIO B.A.,2020-08-01
27.1,4,RAFAELA AERO,2020-08-01
31.5,8.9,RECONQUISTA AERO,2020-08-01
33.5,14.4,RESISTENCIA AERO,2020-08-01
18.2,7,RIO COLORADO,2020-08-01
26.1,4.1,RIO CUARTO AERO,2020-08-01
4.9,-0.6,RIO GALLEGOS AERO,2020-08-01
5.5,1.5,RIO GRANDE B.A.,2020-08-01
34.5,10,RIVADAVIA,2020-08-01
26.6,6,ROSARIO AERO,2020-08-01
25,0.4,SALTA AERO,2020-08-01
16.6,5,SAN ANTONIO OESTE AERO,2020-08-01
17.4,-1.5,SAN CARLOS (MZA),2020-08-01
19.2,6.4,SAN FERNANDO AERO,2020-08-01
26.6,-1.2,SAN JUAN AERO,2020-08-01
8.4,1.4,SAN JULIAN AERO,2020-08-01
25,6,SAN LUIS AERO,2020-08-01
22,2.6,SAN MARTIN (MZA),2020-08-01
23.6,1.8,SAN RAFAEL AERO,2020-08-01
5.6,1.6,SANTA CRUZ AERO,2020-08-01
21.4,3.4,SANTA ROSA AERO,2020-08-01
25,-3.6,SANTA ROSA DE CONLARA AERO,2020-08-01
31.5,1.5,SANTIAGO DEL ESTERO AERO,2020-08-01
27.3,6.2,SAUCE VIEJO AERO,2020-08-01
29,4.4,SUNCHALES AERO,2020-08-01
15.7,-2.5,TANDIL AERO,2020-08-01
33.5,12,TARTAGAL AERO,2020-08-01
24.5,-1,TINOGASTA,2020-08-01
14.2,9.7,TRELEW AERO,2020-08-01
20.5,4.3,TRENQUE LAUQUEN,2020-08-01
16.9,3.4,TRES ARROYOS,2020-08-01
25.5,6.5,TUCUMAN AERO,2020-08-01
7,3,USHUAIA AERO,2020-08-01
24.4,-2,USPALLATA,2020-08-01
26.4,2,VENADO TUERTO AERO,2020-08-01
22.4,5.2,VICTORICA,2020-08-01
15.7,7.3,VIEDMA AERO,2020-08-01
27.2,-1,VILLA DE MARIA DEL RIO SECO,2020-08-01
27.3,6,VILLA DOLORES AERO,2020-08-01
15,0.1,VILLA GESELL AERO,2020-08-01
27.6,-0.8,VILLA REYNOLDS AERO,2020-08-01
20.8,14.6,AEROPARQUE AERO,2020-08-02
18.8,6.6,AZUL AERO,2020-08-02
16.8,3.5,BAHIA BLANCA AERO,2020-08-02
10.5,3,BARILOCHE AERO,2020-08-02
NA,-36,BASE BELGRANO II,2020-08-02
2.3,-0.8,BASE CARLINI (EX JUBANY),2020-08-02
0.8,-11.3,BASE ESPERANZA,2020-08-02
-1.3,-19.4,BASE MARAMBIO,2020-08-02
2,-4.1,BASE ORCADAS,2020-08-02
0.9,-4.2,BASE SAN MARTIN,2020-08-02
17.2,4.7,BENITO JUAREZ AERO,2020-08-02
24.7,15.8,BERNARDO DE IRIGOYEN AERO,2020-08-02
20.6,8.5,BOLIVAR AERO,2020-08-02
24.4,16.6,BUENOS AIRES OBSERVATORIO,2020-08-02
23.5,14.8,CAMPO DE MAYO AERO,2020-08-02
25.6,2.8,CATAMARCA AERO,2020-08-02
30.5,15,CERES AERO,2020-08-02
28,11.1,CHAMICAL AERO,2020-08-02
13,3.4,CHAPELCO AERO,2020-08-02
20.5,8.5,CHEPES,2020-08-02
25,1.9,CHILECITO AERO,2020-08-02
17.6,3.2,CIPOLLETTI,2020-08-02
14.3,5.6,COMODORO RIVADAVIA AERO,2020-08-02
27.7,16.8,CONCORDIA AERO,2020-08-02
25.6,13.6,CORDOBA AERO,2020-08-02
26.4,15.4,CORDOBA OBSERVATORIO,2020-08-02
17.6,4,CORONEL PRINGLES AERO,2020-08-02
19.9,2.7,CORONEL SUAREZ AERO,2020-08-02
32.6,18.2,CORRIENTES AERO,2020-08-02
17.2,10.1,DOLORES AERO,2020-08-02
13.9,1.7,EL BOLSON AERO,2020-08-02
7.9,-2,EL CALAFATE AERO,2020-08-02
23.5,17,EL PALOMAR AERO,2020-08-02
29.7,12.2,EL TREBOL,2020-08-02
25.2,12.5,ESCUELA DE AVIACION MILITAR AERO,2020-08-02
9.6,NA,ESQUEL AERO,2020-08-02
21.9,14.5,EZEIZA AERO,2020-08-02
33.1,18.2,FORMOSA AERO,2020-08-02
22,4.6,GENERAL PICO AERO,2020-08-02
6.5,2.4,GOBERNADOR GREGORES AERO,2020-08-02
27,17.2,GUALEGUAYCHU AERO,2020-08-02
29,14.4,IGUAZU AERO,2020-08-02
NA,NA,ITUZAINGO,2020-08-02
NA,NA,JACHAL,2020-08-02
